account_code,transaction_type,amount,transaction_date
4920,debit,"136,63",2020-01-08
8402,credit,"689,44",2020-01-08
1001,credit,"162,5",2020-01-08
1576,debit,"25,87",2020-01-08
1600,credit,"1139,55",2020-01-08
80007,credit,"1139,55",2020-01-08
8401,credit,"363,29",2020-01-08
1776,credit,"131,03",2020-01-08
8401,credit,"1060,65",2020-01-08
1400,debit,"421,4",2020-01-08
1400,debit,"820,47",2020-01-08
4909,debit,"13,04",2020-01-09
1400,debit,"2328,45",2020-01-09
0990,credit,"2328,45",2020-01-09
10585,debit,"2328,45",2020-01-09
1000,credit,"13,04",2020-01-09
70001,credit,"612,76",2020-01-10
1776,credit,"232,88",2020-01-10
1576,debit,"31,87",2020-01-10
1400,credit,"1009,53",2020-01-10
1400,debit,"614,16",2020-01-10
8401,credit,"529,47",2020-01-10
10522,debit,"1458,25",2020-01-10
4140,debit,"168,25",2020-01-10
8403,credit,"1225,37",2020-01-10
10175,debit,"614,16",2020-01-10
8407,credit,"1872,53",2020-01-10
10464,credit,"1009,53",2020-01-10
1600,credit,"612,76",2020-01-10
1400,debit,"1458,25",2020-01-10
0990,debit,"2228,41",2020-01-10
4781,debit,"612,76",2020-01-10
79536,credit,"905,29",2020-01-10
78507,credit,"200,33",2020-01-10
1776,credit,"355,88",2020-01-10
1775,credit,"84,69",2020-01-10
1600,credit,"200,33",2020-01-10
1600,credit,"905,29",2020-01-10
1400,credit,"633,34",2020-01-10
4595,debit,"905,29",2020-01-10
8401,debit,"1009,53",2020-01-10
0990,debit,"633,34",2020-01-10
10027,credit,"633,34",2020-01-10
4103,debit,"1559,82",2020-01-11
4140,debit,"2,02",2020-01-11
1600,credit,"2,15",2020-01-11
1400,credit,"429,51",2020-01-11
1400,credit,"1761,11",2020-01-11
1591,debit,"7,33",2020-01-11
1571,debit,"0,13",2020-01-11
11435,credit,"1761,11",2020-01-11
1201,debit,"429,51",2020-01-11
1755,credit,"1559,82",2020-01-11
8402,debit,"1479,86",2020-01-11
10118,credit,"7,33",2020-01-11
1400,credit,"7,33",2020-01-11
1776,debit,"281,25",2020-01-11
78507,credit,"2,15",2020-01-11
10254,credit,"429,51",2020-01-11
8402,credit,"58,17",2020-01-12
1591,debit,"2175,54",2020-01-12
1787,credit,"13,92",2020-01-12
1576,debit,"69,99",2020-01-12
71200,credit,"1235,95",2020-01-12
78507,credit,"438,78",2020-01-12
1600,credit,"520,9",2020-01-12
1577,debit,"13,92",2020-01-12
1400,credit,"2175,54",2020-01-12
4660,debit,"73,1",2020-01-12
4250,debit,"368,79",2020-01-12
11412,debit,"69,23",2020-01-12
1400,debit,"69,23",2020-01-12
1577,debit,"98,97",2020-01-12
1600,credit,"1235,95",2020-01-12
4653,debit,"1038,82",2020-01-12
79536,credit,"73,1",2020-01-12
1787,credit,"98,97",2020-01-12
1776,credit,"11,06",2020-01-12
1600,credit,"438,78",2020-01-12
10172,credit,"2175,54",2020-01-12
1600,credit,"73,1",2020-01-12
4964,debit,"520,9",2020-01-12
1576,debit,"197,13",2020-01-12
73022,credit,"520,9",2020-01-12
10766,debit,"2410,56",2020-01-13
1571,debit,"15,3",2020-01-13
4650,debit,"222,15",2020-01-13
1201,credit,"1124,85",2020-01-13
8401,debit,"1128,61",2020-01-13
8402,credit,"1069,26",2020-01-13
10757,debit,"1272,47",2020-01-13
1360,debit,"1124,85",2020-01-13
1400,debit,"2410,56",2020-01-13
1576,debit,"42,25",2020-01-13
76499,credit,"264,4",2020-01-13
1776,credit,"203,21",2020-01-13
8401,credit,"2025,59",2020-01-13
78507,credit,"233,63",2020-01-13
1600,credit,"264,4",2020-01-13
1400,debit,"1272,47",2020-01-13
1600,credit,"233,63",2020-01-13
1400,credit,"1128,61",2020-01-13
1776,credit,"384,97",2020-01-13
10028,credit,"1128,61",2020-01-13
4140,debit,"218,33",2020-01-13
1200,debit,"142,29",2020-01-14
80008,credit,"1483,72",2020-01-14
1776,credit,"22,7",2020-01-14
8603,credit,"119,59",2020-01-14
4909,debit,"1246,77",2020-01-14
1576,debit,"236,95",2020-01-14
1600,credit,"1483,72",2020-01-14
10696,credit,"1932,94",2020-01-15
1400,credit,"1932,94",2020-01-15
0990,debit,"277,74",2020-01-15
1600,credit,"0,86",2020-01-15
1776,debit,"161,61",2020-01-15
8401,debit,"850,32",2020-01-15
8401,debit,"1624,25",2020-01-15
1776,debit,"308,69",2020-01-15
90044,credit,"0,86",2020-01-15
10499,credit,"1011,93",2020-01-15
8401,credit,"277,74",2020-01-15
1400,credit,"1011,93",2020-01-15
4650,debit,"0,86",2020-01-15
77017,credit,"585,66",2020-01-16
1776,debit,14,2020-01-16
4663,debit,"585,66",2020-01-16
1400,credit,"207,63",2020-01-16
1200,credit,"489,92",2020-01-16
1001,credit,"1670,77",2020-01-16
1400,credit,"2447,31",2020-01-16
0990,credit,"87,97",2020-01-16
1201,debit,"2447,31",2020-01-16
1591,debit,"207,63",2020-01-16
4143,debit,"1402,95",2020-01-16
1600,credit,"-356,57",2020-01-16
8401,debit,"81,96",2020-01-16
1600,credit,"585,66",2020-01-16
4390,debit,"489,92",2020-01-16
1400,credit,"81,96",2020-01-16
73025,credit,"-356,57",2020-01-16
1574,debit,"15,66",2020-01-16
1576,debit,"-56,98",2020-01-16
1600,credit,"81,98",2020-01-16
70001,credit,"81,98",2020-01-16
4980,debit,"81,98",2020-01-16
8408,debit,"73,97",2020-01-16
10378,credit,"81,96",2020-01-16
4250,debit,"-299,59",2020-01-16
1576,debit,"267,82",2020-01-16
10191,credit,"207,63",2020-01-16
1774,credit,"15,66",2020-01-16
10175,credit,"2447,31",2020-01-16
1200,credit,"194,29",2020-01-17
8407,credit,"833,8",2020-01-17
4970,debit,"194,29",2020-01-17
1776,credit,"158,47",2020-01-17
0990,debit,"992,27",2020-01-17
1576,debit,"250,37",2020-01-18
8408,debit,"1573,81",2020-01-18
1576,debit,"1,42",2020-01-18
8407,debit,"329,17",2020-01-18
71500,credit,"1567,73",2020-01-18
0990,credit,"1872,25",2020-01-18
70999,credit,"8,85",2020-01-18
1776,debit,"298,44",2020-01-18
4930,debit,"7,44",2020-01-18
0990,credit,"329,17",2020-01-18
4970,debit,"623,27",2020-01-18
1600,credit,"8,85",2020-01-18
1600,credit,"1567,73",2020-01-18
1200,credit,"623,27",2020-01-18
4909,debit,"1317,36",2020-01-18
1400,credit,"675,49",2020-01-19
1776,debit,"97,57",2020-01-19
1600,debit,"-0,58",2020-01-19
1200,credit,"-1156,07",2020-01-19
8401,debit,"513,37",2020-01-19
1776,debit,"107,88",2020-01-19
74999,debit,"-0,58",2020-01-19
10317,credit,"675,49",2020-01-19
1400,credit,"610,94",2020-01-19
10808,credit,"610,94",2020-01-19
8409,debit,"567,61",2020-01-19
1600,debit,"-1156,07",2020-01-19
3736,credit,"-0,58",2020-01-19
74999,debit,"-1156,07",2020-01-19
1776,credit,"10,56",2020-01-20
10786,debit,"66,14",2020-01-20
1776,credit,"142,91",2020-01-20
0990,debit,"894,88",2020-01-20
8407,credit,"751,97",2020-01-20
71525,credit,"50,2",2020-01-20
4964,debit,"49,05",2020-01-20
71515,credit,"49,05",2020-01-20
1200,debit,"50,2",2020-01-20
1400,debit,"66,14",2020-01-20
1600,credit,"49,05",2020-01-20
1600,credit,"50,2",2020-01-20
8402,credit,"55,58",2020-01-20
1776,credit,"314,24",2020-01-21
11155,credit,818,2020-01-21
4650,debit,"156,89",2020-01-21
1776,debit,"139,78",2020-01-21
8402,debit,"735,47",2020-01-21
11417,credit,"875,25",2020-01-21
1600,credit,"1226,25",2020-01-21
71033,credit,"1226,25",2020-01-21
1600,credit,"156,89",2020-01-21
1400,credit,"875,25",2020-01-21
1400,credit,818,2020-01-21
4250,debit,"1030,46",2020-01-21
8603,credit,"1653,42",2020-01-21
71541,credit,"156,89",2020-01-21
1576,debit,"195,78",2020-01-21
1200,debit,"1967,66",2020-01-21
1201,debit,818,2020-01-21
8401,credit,"595,52",2020-01-22
4604,debit,"1441,52",2020-01-22
72300,credit,"1715,48",2020-01-22
1400,debit,"690,78",2020-01-22
11193,debit,"690,78",2020-01-22
1576,debit,"273,96",2020-01-22
1775,credit,"95,26",2020-01-22
1600,credit,"1715,48",2020-01-22
2152,debit,"1396,67",2020-01-23
1776,debit,"38,27",2020-01-23
81013,credit,"1014,24",2020-01-23
1400,debit,"2457,33",2020-01-23
10177,credit,"2182,58",2020-01-23
8408,debit,"201,38",2020-01-23
81499,credit,"35,04",2020-01-23
1776,credit,"392,44",2020-01-23
1776,credit,"76,23",2020-01-23
10527,debit,"2457,33",2020-01-23
8404,credit,"2064,89",2020-01-23
1400,debit,"3,33",2020-01-23
1740,debit,"1008,59",2020-01-23
8409,debit,"1834,02",2020-01-23
1776,credit,"0,5",2020-01-23
4152,debit,"1014,24",2020-01-23
1600,credit,"35,04",2020-01-23
1776,debit,"348,56",2020-01-23
1400,credit,"2182,58",2020-01-23
11218,credit,"239,65",2020-01-23
0990,debit,"477,36",2020-01-23
1600,credit,"1014,24",2020-01-23
4655,credit,"1396,67",2020-01-23
1400,credit,"239,65",2020-01-23
8401,credit,"2,82",2020-01-23
1200,credit,"1008,59",2020-01-23
4653,debit,"35,04",2020-01-23
8407,credit,"401,13",2020-01-23
10383,debit,"3,33",2020-01-23
8409,credit,"1761,83",2020-01-24
1776,credit,"334,84",2020-01-24
11092,debit,"2096,67",2020-01-24
1400,debit,"2096,67",2020-01-24
10371,debit,"191,2",2020-01-25
8401,credit,"160,67",2020-01-25
1776,credit,"30,53",2020-01-25
70001,credit,"-755,91",2020-01-25
4635,debit,"-755,91",2020-01-25
1600,credit,"-755,91",2020-01-25
1400,debit,"191,2",2020-01-25
11228,debit,"2358,83",2020-01-26
1775,credit,"325,28",2020-01-26
10205,credit,"842,89",2020-01-26
8401,credit,"2033,55",2020-01-26
1600,credit,"32,67",2020-01-26
1576,debit,"141,02",2020-01-26
1400,credit,"2227,34",2020-01-26
1776,debit,"355,71",2020-01-26
10603,credit,"2227,34",2020-01-26
1787,credit,"130,52",2020-01-26
1400,credit,"842,89",2020-01-26
8401,debit,"708,28",2020-01-26
8402,debit,"1871,63",2020-01-26
1577,debit,"130,52",2020-01-26
4152,debit,"32,67",2020-01-26
1600,credit,"686,95",2020-01-26
1400,debit,"2358,83",2020-01-26
3104,debit,"686,95",2020-01-26
70600,credit,"686,95",2020-01-26
1776,debit,"134,61",2020-01-26
4240,debit,"741,98",2020-01-26
1201,credit,883,2020-01-26
71525,credit,"32,67",2020-01-26
10183,debit,"1185,5",2020-01-27
1600,credit,"2291,24",2020-01-27
70500,credit,"510,04",2020-01-27
1400,debit,"1185,5",2020-01-27
4970,debit,"766,19",2020-01-27
4250,debit,"1925,33",2020-01-27
8401,credit,"1022,02",2020-01-27
3101,debit,"510,04",2020-01-27
1577,debit,"96,91",2020-01-27
1775,credit,"163,48",2020-01-27
1787,credit,"96,91",2020-01-27
1201,credit,"766,19",2020-01-27
1576,debit,"365,91",2020-01-27
1600,credit,"510,04",2020-01-27
71033,credit,"2291,24",2020-01-27
10661,credit,"423,12",2020-01-28
8401,debit,"423,12",2020-01-28
1600,credit,"2177,1",2020-01-28
1400,credit,"423,12",2020-01-28
4946,debit,"1829,85",2020-01-28
71605,credit,"2177,1",2020-01-28
1576,debit,"347,25",2020-01-28
1600,credit,"1456,4",2020-01-29
1600,credit,"2469,08",2020-01-29
78507,credit,"1456,4",2020-01-29
70001,credit,"26,31",2020-01-29
10353,debit,"1007,3",2020-01-29
1576,debit,"394,07",2020-01-29
11152,credit,"389,16",2020-01-29
1400,credit,"389,16",2020-01-29
1571,debit,"95,1",2020-01-29
1774,credit,"4,98",2020-01-29
1600,credit,"26,31",2020-01-29
4963,debit,"809,84",2020-01-29
1400,credit,"2386,94",2020-01-29
1600,credit,"939,38",2020-01-29
10822,credit,"2386,94",2020-01-29
1574,debit,"4,98",2020-01-29
1201,debit,"389,16",2020-01-29
8401,debit,"2005,75",2020-01-29
4120,credit,"2059,21",2020-01-29
4140,debit,"1361,3",2020-01-29
4930,debit,"26,31",2020-01-29
8401,credit,"868,39",2020-01-29
1776,debit,"381,19",2020-01-29
1775,credit,"138,91",2020-01-29
70104,credit,"2469,08",2020-01-29
70038,credit,"939,38",2020-01-29
1400,debit,"1007,3",2020-01-29
0965,debit,"2059,21",2020-01-29
4920,debit,"2075,01",2020-01-29
1575,debit,"129,54",2020-01-29
1576,debit,"126,99",2020-01-30
70300,credit,"795,65",2020-01-30
4806,debit,"668,66",2020-01-30
1600,credit,"795,65",2020-01-30
8401,debit,"87,18",2020-01-31
90028,credit,"675,32",2020-01-31
1600,credit,"675,32",2020-01-31
1776,debit,"16,57",2020-01-31
10402,credit,"103,75",2020-01-31
1571,debit,"44,17",2020-01-31
4663,debit,"631,15",2020-01-31
1400,credit,"103,75",2020-01-31
2150,debit,"1450,48",2020-02-01
8401,credit,"25,37",2020-02-01
1400,debit,"30,19",2020-02-01
10028,debit,"30,19",2020-02-01
1600,credit,"1450,48",2020-02-01
1776,credit,"4,82",2020-02-01
73999,credit,"1450,48",2020-02-01
10696,credit,"1553,92",2020-02-02
1400,credit,"280,83",2020-02-02
4964,debit,"2315,17",2020-02-02
1201,debit,"280,83",2020-02-02
1600,credit,"2315,17",2020-02-02
1400,credit,"1553,92",2020-02-02
76002,credit,"2315,17",2020-02-02
1776,debit,"248,16",2020-02-02
10329,credit,"280,83",2020-02-02
8401,debit,"1305,76",2020-02-02
1600,debit,"943,25",2020-02-03
1400,credit,"1855,76",2020-02-03
8401,debit,"1784,74",2020-02-03
10207,credit,"1855,76",2020-02-03
71531,debit,"943,25",2020-02-03
10079,debit,"186,15",2020-02-03
8401,credit,"156,48",2020-02-03
1776,debit,"296,36",2020-02-03
1200,credit,"1889,88",2020-02-03
1400,credit,"1784,74",2020-02-03
1600,debit,"1889,88",2020-02-03
1400,debit,"186,15",2020-02-03
2150,credit,"943,25",2020-02-03
8401,debit,"1559,4",2020-02-03
70523,debit,"1889,88",2020-02-03
10250,credit,"1784,74",2020-02-03
1776,credit,"29,67",2020-02-03
4964,debit,"1243,14",2020-02-04
11057,debit,"1982,52",2020-02-04
8407,credit,"1190,7",2020-02-04
1776,credit,"0,05",2020-02-04
1200,credit,"9,92",2020-02-04
1787,credit,"236,2",2020-02-04
1400,debit,"1982,52",2020-02-04
0990,debit,"1416,99",2020-02-04
1776,credit,"316,61",2020-02-04
79053,credit,"1243,14",2020-02-04
8401,credit,"0,28",2020-02-04
8401,credit,"1665,91",2020-02-04
1202,credit,"100,21",2020-02-04
1776,credit,"226,29",2020-02-04
1600,credit,"738,01",2020-02-04
72999,credit,"738,01",2020-02-04
1591,debit,"9,92",2020-02-04
1360,debit,"100,21",2020-02-04
4910,debit,"738,01",2020-02-04
1577,debit,"236,2",2020-02-04
0990,debit,"0,33",2020-02-04
1600,credit,"1243,14",2020-02-04
4920,debit,"19,96",2020-02-05
0990,credit,"10,78",2020-02-05
1776,debit,"1,73",2020-02-05
1000,credit,"847,89",2020-02-05
79501,credit,"23,76",2020-02-05
1576,debit,"3,8",2020-02-05
8408,debit,"9,05",2020-02-05
1400,debit,"215,83",2020-02-05
1776,credit,"34,47",2020-02-05
4663,debit,"308,77",2020-02-05
1400,credit,"1135,36",2020-02-05
11106,credit,"1135,36",2020-02-05
1600,credit,"308,77",2020-02-05
1776,debit,"181,43",2020-02-05
8408,debit,"953,93",2020-02-05
1600,credit,"23,76",2020-02-05
8401,credit,"181,36",2020-02-05
70046,credit,"308,77",2020-02-05
10851,debit,"215,83",2020-02-05
4909,debit,"847,89",2020-02-05
1201,debit,"45,19",2020-02-06
4595,debit,"776,53",2020-02-06
1600,credit,"776,53",2020-02-06
1776,debit,"361,38",2020-02-06
8401,debit,"1901,47",2020-02-06
2020,debit,"322,95",2020-02-06
79036,credit,"322,95",2020-02-06
10322,credit,"2262,85",2020-02-06
10646,credit,"45,19",2020-02-06
1600,credit,"322,95",2020-02-06
76002,credit,"235,59",2020-02-06
1400,credit,"2262,85",2020-02-06
76499,credit,"776,53",2020-02-06
1400,credit,"45,19",2020-02-06
4964,debit,"235,59",2020-02-06
4663,debit,"787,16",2020-02-06
1600,credit,"787,16",2020-02-06
72519,credit,"787,16",2020-02-06
1600,credit,"235,59",2020-02-06
1400,debit,"30,12",2020-02-08
8401,debit,"984,5",2020-02-08
1400,credit,"984,5",2020-02-08
10412,debit,"30,12",2020-02-08
71525,credit,"3,14",2020-02-08
8401,credit,"25,31",2020-02-08
10174,credit,"984,5",2020-02-08
1600,credit,"3,14",2020-02-08
1776,credit,"4,81",2020-02-08
1200,debit,"3,14",2020-02-08
75502,credit,"887,47",2020-02-09
1571,debit,"1,36",2020-02-09
1400,credit,"1425,85",2020-02-09
0990,debit,"167,39",2020-02-09
1776,debit,"2290,94",2020-02-09
70001,credit,"20,94",2020-02-09
2020,debit,"887,47",2020-02-09
8401,credit,"2290,94",2020-02-09
10693,credit,"1425,85",2020-02-09
4640,debit,"19,58",2020-02-09
8401,debit,"1198,14",2020-02-09
1600,credit,"20,94",2020-02-09
1776,debit,"227,71",2020-02-09
8408,credit,"167,39",2020-02-09
1600,credit,"887,47",2020-02-09
1571,debit,"155,17",2020-02-10
1400,debit,"1415,18",2020-02-10
1776,credit,226,2020-02-10
8401,credit,"1189,18",2020-02-10
8409,credit,"2008,76",2020-02-10
1400,debit,"1433,66",2020-02-10
1600,credit,"2372,7",2020-02-10
70800,credit,"2372,7",2020-02-10
10246,debit,"1415,18",2020-02-10
8401,credit,"1204,7",2020-02-10
4663,debit,"2217,53",2020-02-10
10636,debit,"1433,66",2020-02-10
1400,debit,"2390,53",2020-02-10
1776,credit,"228,96",2020-02-10
1776,credit,"381,77",2020-02-10
10155,debit,"2390,53",2020-02-10
1200,credit,"368,26",2020-02-11
1776,credit,"141,64",2020-02-11
2150,debit,"368,26",2020-02-11
8407,credit,"745,3",2020-02-11
0990,debit,"886,94",2020-02-11
1576,debit,"132,57",2020-02-12
1776,debit,"241,72",2020-02-12
4950,debit,"697,57",2020-02-12
1600,credit,"830,14",2020-02-12
8401,debit,"15,11",2020-02-12
4102,debit,"2434,07",2020-02-12
8200,credit,"15,11",2020-02-12
1776,debit,"215,86",2020-02-12
8401,credit,"15,58",2020-02-12
8401,debit,"1135,83",2020-02-12
11118,credit,"1351,69",2020-02-12
1776,credit,"2,92",2020-02-12
10424,debit,"18,74",2020-02-12
11082,credit,"1513,57",2020-02-12
8409,debit,"1271,85",2020-02-12
1400,credit,"1513,57",2020-02-12
75502,credit,"830,14",2020-02-12
1400,debit,"18,74",2020-02-12
1755,credit,"2434,07",2020-02-12
1400,credit,"1351,69",2020-02-12
1200,credit,"2102,25",2020-02-13
10213,credit,"1917,88",2020-02-13
71525,credit,"612,37",2020-02-13
1591,debit,"1917,88",2020-02-13
1571,debit,"79,24",2020-02-13
2150,debit,"2102,25",2020-02-13
4152,debit,"612,37",2020-02-13
1400,credit,"1917,88",2020-02-13
0990,debit,"2217,14",2020-02-13
8407,credit,"1863,06",2020-02-13
78507,credit,"1213,49",2020-02-13
1600,credit,"612,37",2020-02-13
1776,credit,"354,08",2020-02-13
4152,debit,"1134,25",2020-02-13
1600,credit,"1213,49",2020-02-13
71515,debit,"1590,66",2020-02-14
8404,credit,"796,76",2020-02-14
1776,credit,"151,43",2020-02-14
10408,debit,"948,19",2020-02-14
4985,debit,"2444,52",2020-02-14
1400,debit,"948,19",2020-02-14
1600,credit,"2444,52",2020-02-14
1600,debit,"1590,66",2020-02-14
70553,credit,"2444,52",2020-02-14
1200,credit,"1590,66",2020-02-14
71499,credit,"457,8",2020-02-15
1600,credit,"1465,44",2020-02-15
90012,credit,"1465,44",2020-02-15
4663,debit,"1369,89",2020-02-15
1571,debit,"95,55",2020-02-15
4663,debit,"1622,56",2020-02-15
4655,debit,"457,8",2020-02-15
1571,debit,"115,96",2020-02-15
1600,credit,"1738,52",2020-02-15
1600,credit,"457,8",2020-02-15
73999,credit,"1738,52",2020-02-15
1600,credit,"2211,27",2020-02-16
4250,debit,"768,65",2020-02-16
1400,credit,"843,49",2020-02-16
1400,debit,"327,01",2020-02-16
8401,debit,"708,78",2020-02-16
1776,debit,"134,71",2020-02-16
1776,credit,"135,56",2020-02-16
4663,debit,"1858,35",2020-02-16
1400,debit,"848,87",2020-02-16
1600,credit,"1276,27",2020-02-16
8401,credit,"281,92",2020-02-16
8401,debit,"707,14",2020-02-16
1571,debit,"16,4",2020-02-16
1576,debit,"146,41",2020-02-16
1775,credit,"45,09",2020-02-16
1600,credit,"915,06",2020-02-16
4930,debit,"235,16",2020-02-16
8409,credit,"713,31",2020-02-16
10613,credit,"841,53",2020-02-16
1000,credit,"251,56",2020-02-16
11010,debit,"241,3",2020-02-16
1776,credit,"38,54",2020-02-16
1571,debit,"83,34",2020-02-16
10255,credit,"843,49",2020-02-16
1576,debit,"352,92",2020-02-16
8402,credit,"202,76",2020-02-16
1400,debit,"241,3",2020-02-16
71033,credit,"915,06",2020-02-16
4940,debit,"1192,93",2020-02-16
10628,debit,"848,87",2020-02-16
1776,debit,"134,39",2020-02-16
1400,credit,"841,53",2020-02-16
71600,credit,"1276,27",2020-02-16
90029,credit,"2211,27",2020-02-16
11196,debit,"327,01",2020-02-16
1000,credit,"1953,64",2020-02-17
4970,debit,"1311,01",2020-02-17
1576,debit,"248,97",2020-02-17
1201,credit,"1559,98",2020-02-17
1576,debit,312,2020-02-17
4985,debit,"1641,64",2020-02-17
11258,debit,"438,35",2020-02-18
1571,debit,"22,97",2020-02-18
1776,credit,70,2020-02-18
8402,credit,"368,35",2020-02-18
1001,credit,"360,6",2020-02-18
1400,debit,"438,35",2020-02-18
4143,debit,"337,63",2020-02-18
1776,credit,"260,93",2020-02-19
0990,debit,"1639,02",2020-02-19
8401,credit,"1378,09",2020-02-19
4663,debit,"1778,67",2020-02-20
2152,debit,"67,14",2020-02-20
1600,credit,"2114,95",2020-02-20
10470,debit,"77,59",2020-02-20
10267,debit,"524,56",2020-02-20
70006,credit,"2275,25",2020-02-20
72526,credit,"2114,95",2020-02-20
8403,credit,"65,3",2020-02-20
1775,credit,"72,34",2020-02-20
1776,credit,"168,93",2020-02-20
77005,credit,"741,12",2020-02-20
1400,debit,"77,59",2020-02-20
8401,credit,"888,84",2020-02-20
1200,debit,"2275,25",2020-02-20
1400,debit,"524,56",2020-02-20
1776,credit,"12,29",2020-02-20
1600,credit,"2275,25",2020-02-20
1400,debit,"1057,77",2020-02-20
8401,credit,"452,22",2020-02-20
76044,credit,"67,14",2020-02-20
10548,debit,"1057,77",2020-02-20
4663,debit,"741,12",2020-02-20
1576,debit,"336,28",2020-02-20
1600,credit,"741,12",2020-02-20
1600,credit,"67,14",2020-02-20
8401,credit,"1046,13",2020-02-22
8407,debit,"1,17",2020-02-22
70006,debit,"978,76",2020-02-22
10160,debit,"1213,47",2020-02-22
0990,credit,"1,37",2020-02-22
1400,debit,"1213,47",2020-02-22
1200,credit,"978,76",2020-02-22
1776,debit,"0,2",2020-02-22
1775,credit,"167,34",2020-02-22
1600,debit,"978,76",2020-02-22
10460,credit,"1099,39",2020-02-23
4964,debit,"161,83",2020-02-23
1600,credit,"161,83",2020-02-23
71521,credit,"161,83",2020-02-23
1201,debit,"1099,39",2020-02-23
1400,credit,"1099,39",2020-02-23
73037,credit,"1048,53",2020-02-24
1600,credit,"1645,93",2020-02-24
1600,debit,"1765,86",2020-02-24
4945,debit,"1048,53",2020-02-24
71541,credit,"1645,93",2020-02-24
11125,debit,"2348,22",2020-02-24
1200,credit,"1765,86",2020-02-24
8401,credit,"1973,21",2020-02-24
1400,credit,"1157,23",2020-02-24
1400,debit,"2348,22",2020-02-24
70006,debit,"1765,86",2020-02-24
4152,debit,"1645,93",2020-02-24
8401,debit,"1157,23",2020-02-24
1600,credit,"1048,53",2020-02-24
10093,credit,"1157,23",2020-02-24
1776,credit,"375,01",2020-02-24
4970,debit,"26,79",2020-02-25
8401,credit,"1271,9",2020-02-25
1776,credit,"241,73",2020-02-25
1400,debit,"1513,63",2020-02-25
1400,credit,"2291,68",2020-02-25
10123,credit,"2291,68",2020-02-25
77019,credit,"802,32",2020-02-25
10373,debit,"1513,63",2020-02-25
1591,debit,"2291,68",2020-02-25
8401,credit,"1353,38",2020-02-25
1400,debit,"1610,59",2020-02-25
1600,credit,"802,32",2020-02-25
11153,debit,"2404,46",2020-02-25
1576,debit,"128,1",2020-02-25
1776,credit,"383,99",2020-02-25
1200,credit,"26,79",2020-02-25
1776,credit,"257,21",2020-02-25
8401,credit,"2020,47",2020-02-25
10304,debit,"1610,59",2020-02-25
4980,debit,"674,21",2020-02-25
1400,debit,"2404,46",2020-02-25
1776,debit,"291,99",2020-02-26
10749,credit,"1959,96",2020-02-26
8401,debit,"1959,96",2020-02-26
8404,debit,"1536,38",2020-02-26
